Mariwenn;Famille;Name;Position;Orthotropie;Hauteur;Densite;DBH;Germination;Masse;Pulpe;Enveloppe;Couleur
1412;Burseraceae;Trattinnickia rhoifolia;3;1;35;0,45;69,5;1;3;1;0;1
4597;Meliaceae;Trichilia micrantha;1;;20;0,61;22,3;;3;1;1;1
4602;Meliaceae;Trichilia quadrijuga;2;;30;0,55;45,5;;3;1;1;1
4604;Meliaceae;Trichilia schomburgkii;2;;20;0,69;25,8;3;4;1;1;0
28787;Moraceae;Trymatococcus amazonicus;2;;30;0,66;40,3;;3;1;0;0
4927;Moraceae;Trymatococcus oligandrus;2;0;20;0,61;23,2;4;3;1;0;1
249;Annonaceae;Unonopsis rufescens;1;;18;0,61;18,8;;3;1;0;1
3572;Humiriaceae;Vantanea parviflora;3;;40;0,84;58,6;1;4;1;0;0
3309;Papilionaceae;Vatairea erythrocarpa;4;;30;;53,8;2;4;0;2;0
4944;Myristicaceae;Virola michelii;3;0;41;0,47;52,5;5;4;1;1;1
4946;Myristicaceae;Virola sebifera;3;0;20;0,46;27,1;4;3;1;1;1
4947;Myristicaceae;Virola surinamensis;4;0;42;0,42;78,2;5;4;1;1;1
2082;Clusiaceae;Vismia cayennensis;3;0;10;0,49;24;1;1;1;0;0
2085;Clusiaceae;Vismia guianensis;3;0;15;0,48;34,9;1;1;1;0;0
2088;Clusiaceae;Vismia latifolia;3;;7;0,43;23,7;;1;1;0;0
2094;Clusiaceae;Vismia sessilifolia;3;;15;0,494;28,1;;1;1;0;0
8103;Vochysiaceae;Vochysia cayennensis;3;;35;0,37;;1;3;0;1;0
8109;Vochysiaceae;Vochysia guianensis;3;;42;0,51;101,2;1;3;0;1;0
8111;Vochysiaceae;Vochysia neyratii;3;;35;0,47;;1;3;0;1;0
8115;Vochysiaceae;Vochysia surinamensis;3;;40;0,6;70;1;2;0;1;0
8117;Vochysiaceae;Vochysia tomentosa;3;;32;0,38;99;1;2;0;1;0
1716;Caesalpiniaceae;Vouacapoua americana;3;0;38;0,79;73,1;4;5;0;1;0
260;Annonaceae;Xylopia nitida;3;0;34;0,55;38,1;1;2;1;1;1
262;Annonaceae;Xylopia pulcherrima;2;0;25;;27,4;;2;1;1;1
264;Annonaceae;Xylopia surinamensis;2;0;30;0,6;24,9;;2;1;1;1
7382;Rutaceae;Zanthoxylum pentandrum;3;1;;0,67;;1;2;1;1;1
4837;Mimosaceae;Zygia racemosa;2;;30;0,75;54,9;2;2;1;1;0
4838;Mimosaceae;Zygia sabatieri;1;;12;;24;2;3;1;1;0
4839;Mimosaceae;Zygia tetragona;1;;35;0,803;20,6;2;2;1;1;0
